,year,State,Race,Total population,Total citizen population,Total registered,Percent registered (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent registered (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Total voted,Percent voted (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent voted (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1
99,2016,DISTRICT OF COLUMBIA,Total,553,512,420,75.9,2.4,2.2,2.6,2.5,82.1,2.4,2.2,2.6,2.5,380,68.7,2.4,2.2,2.6,2.5,74.3,2.4,2.2,2.6,2.5
102,2016,DISTRICT OF COLUMBIA,White,264,243,209,79.5,3.2,2.9,3.5,3.3,86.3,3.2,2.9,3.5,3.3,194,73.7,3.2,2.9,3.5,3.3,80,3.2,2.9,3.5,3.3
104,2016,DISTRICT OF COLUMBIA,Black,250,238,184,73.9,4.4,4.3,4.8,4.8,77.5,4.4,4.3,4.8,4.8,162,64.8,4.4,4.3,4.8,4.8,68,4.4,4.3,4.8,4.8
106,2016,DISTRICT OF COLUMBIA,Hispanic,42,28,20,B,B,B,B,B,B,B,B,B,B,18,B,B,B,B,B,B,B,B,B,B
110,2016,FLORIDA,Total,"16,202","14,428","9,604",59.3,1.3,1.3,1.3,1.3,66.6,1.3,1.3,1.3,1.3,"8,578",52.9,1.3,1.3,1.3,1.3,59.5,1.3,1.3,1.3,1.3
113,2016,FLORIDA,White,"13,097","11,793","8,141",62.2,1.4,1.4,1.4,1.5,69,1.4,1.4,1.4,1.5,"7,277",55.6,1.4,1.4,1.4,1.5,61.7,1.4,1.4,1.4,1.5
115,2016,FLORIDA,Black,"2,434","2,083","1,149",47.2,4,4.3,4,4.3,55.2,4,4.3,4,4.3,"1,051",43.2,4,4.3,4,4.3,50.5,4,4.3,4,4.3
117,2016,FLORIDA,Hispanic,"4,010","2,871","1,779",44.4,4,4.6,3.9,4.8,62,4,4.6,3.9,4.8,"1,552",38.7,4,4.6,3.9,4.8,54.1,4,4.6,3.9,4.8
121,2016,GEORGIA,Total,"7,626","7,048","4,892",64.1,1.8,1.8,1.9,1.9,69.4,1.8,1.8,1.9,1.9,"4,246",55.7,1.8,1.8,1.9,1.9,60.2,1.8,1.8,1.9,1.9
124,2016,GEORGIA,White,"4,798","4,453","3,179",66.2,2.3,2.2,2.4,2.4,71.4,2.3,2.2,2.4,2.4,"2,786",58.1,2.3,2.2,2.4,2.4,62.6,2.3,2.2,2.4,2.4
126,2016,GEORGIA,Black,"2,325","2,255","1,552",66.8,3.9,3.9,4.1,4.1,68.8,3.9,3.9,4.1,4.1,"1,346",57.9,3.9,3.9,4.1,4.1,59.7,3.9,3.9,4.1,4.1
128,2016,GEORGIA,Hispanic,680,335,168,24.8,8.6,14.2,8.5,14.2,50.2,8.6,14.2,8.5,14.2,161,23.6,8.6,14.2,8.5,14.2,47.9,8.6,14.2,8.5,14.2
132,2016,HAWAII,Total,"1,064",974,530,49.8,2.7,2.8,2.7,2.8,54.4,2.7,2.8,2.7,2.8,460,43.3,2.7,2.8,2.7,2.8,47.3,2.7,2.8,2.7,2.8
135,2016,HAWAII,White,225,220,144,63.9,5.7,5.7,5.8,5.9,65.4,5.7,5.7,5.8,5.9,129,57.4,5.7,5.7,5.8,5.9,58.7,5.7,5.7,5.8,5.9
137,2016,HAWAII,Black,24,24,16,B,B,B,B,B,B,B,B,B,B,15,B,B,B,B,B,B,B,B,B,B
139,2016,HAWAII,Hispanic,78,74,43,B,B,B,B,B,B,B,B,B,B,36,B,B,B,B,B,B,B,B,B,B
143,2016,IDAHO,Total,"1,224","1,150",790,64.5,2.7,2.7,2.7,2.8,68.7,2.7,2.7,2.7,2.8,714,58.3,2.7,2.7,2.7,2.8,62.1,2.7,2.7,2.7,2.8
146,2016,IDAHO,White,"1,151","1,095",757,65.8,2.7,2.7,2.8,2.8,69.1,2.7,2.7,2.8,2.8,687,59.7,2.7,2.7,2.8,2.8,62.8,2.7,2.7,2.8,2.8
148,2016,IDAHO,Black,6,5,3,B,B,B,B,B,B,B,B,B,B,2,B,B,B,B,B,B,B,B,B,B
150,2016,IDAHO,Hispanic,163,114,55,33.5,11.3,14.3,11,14.2,48,11.3,14.3,11,14.2,49,29.9,11.3,14.3,11,14.2,42.9,11.3,14.3,11,14.2
154,2016,ILLINOIS,Total,"9,723","8,970","6,665",68.5,1.6,1.5,1.7,1.7,74.3,1.6,1.5,1.7,1.7,"5,719",58.8,1.6,1.5,1.7,1.7,63.8,1.6,1.5,1.7,1.7
157,2016,ILLINOIS,White,"7,647","7,100","5,391",70.5,1.7,1.7,1.9,1.9,75.9,1.7,1.7,1.9,1.9,"4,636",60.6,1.7,1.7,1.9,1.9,65.3,1.7,1.7,1.9,1.9
159,2016,ILLINOIS,Black,"1,358","1,321",932,68.6,5,5,5.4,5.4,70.6,5,5,5.4,5.4,776,57.1,5,5,5.4,5.4,58.7,5,5,5.4,5.4
161,2016,ILLINOIS,Hispanic,"1,490","1,073",634,42.5,6.7,7.8,6.5,7.9,59.1,6.7,7.8,6.5,7.9,527,35.4,6.7,7.8,6.5,7.9,49.2,6.7,7.8,6.5,7.9
165,2016,INDIANA,Total,"4,988","4,795","3,298",66.1,2.2,2.2,2.3,2.3,68.8,2.2,2.2,2.3,2.3,"2,795",56,2.2,2.2,2.3,2.3,58.3,2.2,2.2,2.3,2.3
168,2016,INDIANA,White,"4,309","4,191","2,895",67.2,2.3,2.3,2.5,2.5,69.1,2.3,2.3,2.5,2.5,"2,467",57.2,2.3,2.3,2.5,2.5,58.9,2.3,2.3,2.5,2.5
170,2016,INDIANA,Black,473,442,284,59.9,9,9.1,9.1,9.4,64.2,9,9.1,9.1,9.4,228,48.2,9,9.1,9.1,9.4,51.6,9,9.1,9.1,9.4
172,2016,INDIANA,Hispanic,224,138,69,30.9,15.9,22,15.5,21.9,50.1,15.9,22,15.5,21.9,63,28.3,15.9,22,15.5,21.9,46,15.9,22,15.5,21.9
176,2016,IOWA,Total,"2,394","2,292","1,657",69.2,2.6,2.5,2.7,2.7,72.3,2.6,2.5,2.7,2.7,"1,454",60.7,2.6,2.5,2.7,2.7,63.4,2.6,2.5,2.7,2.7
179,2016,IOWA,White,"2,201","2,159","1,587",72.1,2.6,2.6,2.8,2.8,73.5,2.6,2.6,2.8,2.8,"1,393",63.3,2.6,2.6,2.8,2.8,64.5,2.6,2.6,2.8,2.8
181,2016,IOWA,Black,73,65,39,B,B,B,B,B,B,B,B,B,B,34,B,B,B,B,B,B,B,B,B,B
183,2016,IOWA,Hispanic,97,51,29,B,B,B,B,B,B,B,B,B,B,23,B,B,B,B,B,B,B,B,B,B
187,2016,KANSAS,Total,"2,142","2,029","1,438",67.1,2.8,2.8,3,3,70.9,2.8,2.8,3,3,"1,243",58,2.8,2.8,3,3,61.3,2.8,2.8,3,3
190,2016,KANSAS,White,"1,883","1,798","1,307",69.4,2.9,2.9,3.1,3.1,72.7,2.9,2.9,3.1,3.1,"1,149",61,2.9,2.9,3.1,3.1,63.9,2.9,2.9,3.1,3.1
192,2016,KANSAS,Black,121,121,75,61.8,14.8,14.8,15.1,15.1,61.8,14.8,14.8,15.1,15.1,54,44.5,14.8,14.8,15.1,15.1,44.5,14.8,14.8,15.1,15.1
194,2016,KANSAS,Hispanic,217,138,76,34.9,14.1,18.4,13.7,18.5,54.7,14.1,18.4,13.7,18.5,68,31.2,14.1,18.4,13.7,18.5,48.9,14.1,18.4,13.7,18.5
198,2016,KENTUCKY,Total,"3,348","3,246","2,253",67.3,2.7,2.7,2.8,2.9,69.4,2.7,2.7,2.8,2.9,"1,850",55.3,2.7,2.7,2.8,2.9,57,2.7,2.7,2.8,2.9
201,2016,KENTUCKY,White,"3,014","2,953","2,038",67.6,2.8,2.8,3,3,69,2.8,2.8,3,3,"1,669",55.4,2.8,2.8,3,3,56.5,2.8,2.8,3,3
203,2016,KENTUCKY,Black,250,231,187,74.9,11,10.3,12.2,12.2,81.2,11,10.3,12.2,12.2,159,63.7,11,10.3,12.2,12.2,69.1,11,10.3,12.2,12.2
205,2016,KENTUCKY,Hispanic,138,79,44,B,B,B,B,B,B,B,B,B,B,38,B,B,B,B,B,B,B,B,B,B
209,2016,LOUISIANA,Total,"3,463","3,353","2,446",70.6,2.5,2.4,2.6,2.7,73,2.5,2.4,2.6,2.7,"2,067",59.7,2.5,2.4,2.6,2.7,61.6,2.5,2.4,2.6,2.7
212,2016,LOUISIANA,White,"2,251","2,193","1,631",72.4,3,3,3.3,3.3,74.4,3,3,3.3,3.3,"1,368",60.8,3,3,3.3,3.3,62.4,3,3,3.3,3.3
214,2016,LOUISIANA,Black,"1,062","1,054",755,71.1,5.3,5.3,5.7,5.8,71.6,5.3,5.3,5.7,5.8,646,60.9,5.3,5.3,5.7,5.8,61.3,5.3,5.3,5.7,5.8
216,2016,LOUISIANA,Hispanic,174,121,99,56.7,18.7,17.6,18.9,21.1,81.5,18.7,17.6,18.9,21.1,82,47.2,18.7,17.6,18.9,21.1,67.9,18.7,17.6,18.9,21.1
220,2016,MAINE,Total,"1,058","1,038",830,78.5,2.5,2.5,2.8,2.8,80,2.5,2.5,2.8,2.8,754,71.3,2.5,2.5,2.8,2.8,72.7,2.5,2.5,2.8,2.8
223,2016,MAINE,White,"1,001",988,793,79.2,2.6,2.5,2.8,2.8,80.3,2.6,2.5,2.8,2.8,720,71.9,2.6,2.5,2.8,2.8,72.9,2.6,2.5,2.8,2.8
225,2016,MAINE,Black,13,10,9,B,B,B,B,B,B,B,B,B,B,7,B,B,B,B,B,B,B,B,B,B
227,2016,MAINE,Hispanic,20,16,7,B,B,B,B,B,B,B,B,B,B,7,B,B,B,B,B,B,B,B,B,B
231,2016,MARYLAND,Total,"4,623","4,158","3,114",67.3,2.3,2.3,2.4,2.5,74.9,2.3,2.3,2.4,2.5,"2,737",59.2,2.3,2.3,2.4,2.5,65.8,2.3,2.3,2.4,2.5
234,2016,MARYLAND,White,"2,784","2,593","1,975",70.9,2.9,2.8,3.1,3.1,76.2,2.9,2.8,3.1,3.1,"1,727",62,2.9,2.8,3.1,3.1,66.6,2.9,2.8,3.1,3.1
236,2016,MARYLAND,Black,"1,386","1,289",954,68.9,5.1,5,5.3,5.3,74,5.1,5,5.3,5.3,858,61.9,5.1,5,5.3,5.3,66.6,5.1,5,5.3,5.3
238,2016,MARYLAND,Hispanic,450,250,170,37.9,12.1,15.5,11.7,16.4,68.2,12.1,15.5,11.7,16.4,148,32.8,12.1,15.5,11.7,16.4,59.1,12.1,15.5,11.7,16.4
242,2016,MASSACHUSETTS,Total,"5,374","4,967","3,660",68.1,2.1,2,2.2,2.2,73.7,2.1,2,2.2,2.2,"3,315",61.7,2.1,2,2.2,2.2,66.7,2.1,2,2.2,2.2
245,2016,MASSACHUSETTS,White,"4,464","4,260","3,229",72.3,2.2,2.1,2.3,2.3,75.8,2.2,2.1,2.3,2.3,"2,919",65.4,2.2,2.1,2.3,2.3,68.5,2.2,2.1,2.3,2.3
247,2016,MASSACHUSETTS,Black,438,368,266,60.8,9.2,9.2,9.4,9.8,72.4,9.2,9.2,9.4,9.8,242,55.3,9.2,9.2,9.4,9.8,65.8,9.2,9.2,9.4,9.8
249,2016,MASSACHUSETTS,Hispanic,500,397,199,39.8,11.2,12.9,11,12.8,50.1,11.2,12.9,11,12.8,177,35.4,11.2,12.9,11,12.8,44.6,11.2,12.9,11,12.8
253,2016,MICHIGAN,Total,"7,624","7,332","5,434",71.3,1.7,1.7,1.8,1.8,74.1,1.7,1.7,1.8,1.8,"4,713",61.8,1.7,1.7,1.8,1.8,64.3,1.7,1.7,1.8,1.8
256,2016,MICHIGAN,White,"6,264","6,071","4,579",73.1,1.8,1.8,2,2,75.4,1.8,1.8,2,2,"3,984",63.6,1.8,1.8,2,2,65.6,1.8,1.8,2,2
258,2016,MICHIGAN,Black,"1,039","1,020",708,68.1,5.8,5.8,6.1,6.1,69.4,5.8,5.8,6.1,6.1,623,59.9,5.8,5.8,6.1,6.1,61,5.8,5.8,6.1,6.1
260,2016,MICHIGAN,Hispanic,288,206,101,35,14.6,18.1,13.3,17.3,49,14.6,18.1,13.3,17.3,74,25.7,14.6,18.1,13.3,17.3,36,14.6,18.1,13.3,17.3
264,2016,MINNESOTA,Total,"4,190","3,985","3,055",72.9,2.3,2.2,2.4,2.4,76.7,2.3,2.2,2.4,2.4,"2,738",65.3,2.3,2.2,2.4,2.4,68.7,2.3,2.2,2.4,2.4
267,2016,MINNESOTA,White,"3,614","3,506","2,723",75.4,2.4,2.3,2.6,2.6,77.7,2.4,2.3,2.6,2.6,"2,457",68,2.4,2.3,2.6,2.6,70.1,2.4,2.3,2.6,2.6
269,2016,MINNESOTA,Black,193,169,126,65.3,13.7,13.4,14.2,14.6,74.7,13.7,13.4,14.2,14.6,112,58,13.7,13.4,14.2,14.6,66.3,13.7,13.4,14.2,14.6
271,2016,MINNESOTA,Hispanic,255,136,54,21,13.3,21.9,12.9,21.5,39.6,13.3,21.9,12.9,21.5,50,19.4,13.3,21.9,12.9,21.5,36.6,13.3,21.9,12.9,21.5
275,2016,MISSISSIPPI,Total,"2,203","2,170","1,725",78.3,2.3,2.2,2.6,2.6,79.5,2.3,2.2,2.6,2.6,"1,470",66.7,2.3,2.2,2.6,2.6,67.7,2.3,2.2,2.6,2.6
278,2016,MISSISSIPPI,White,"1,377","1,355","1,070",77.7,2.9,2.9,3.3,3.3,79,2.9,2.9,3.3,3.3,918,66.7,2.9,2.9,3.3,3.3,67.8,2.9,2.9,3.3,3.3
280,2016,MISSISSIPPI,Black,782,777,632,80.9,4.4,4.4,5.2,5.2,81.4,4.4,4.4,5.2,5.2,537,68.7,4.4,4.4,5.2,5.2,69.1,4.4,4.4,5.2,5.2
282,2016,MISSISSIPPI,Hispanic,41,23,18,B,B,B,B,B,B,B,B,B,B,15,B,B,B,B,B,B,B,B,B,B
286,2016,MISSOURI,Total,"4,626","4,486","3,333",72.1,2.2,2.2,2.4,2.4,74.3,2.2,2.2,2.4,2.4,"2,906",62.8,2.2,2.2,2.4,2.4,64.8,2.2,2.2,2.4,2.4
289,2016,MISSOURI,White,"3,957","3,860","2,886",72.9,2.4,2.3,2.6,2.6,74.8,2.4,2.3,2.6,2.6,"2,529",63.9,2.4,2.3,2.6,2.6,65.5,2.4,2.3,2.6,2.6
291,2016,MISSOURI,Black,491,491,385,78.4,7.5,7.5,8.6,8.6,78.4,7.5,7.5,8.6,8.6,325,66.2,7.5,7.5,8.6,8.6,66.2,7.5,7.5,8.6,8.6
293,2016,MISSOURI,Hispanic,160,93,59,B,B,B,B,B,B,B,B,B,B,50,B,B,B,B,B,B,B,B,B,B
297,2016,MONTANA,Total,798,790,581,72.8,2.3,2.3,2.4,2.4,73.5,2.3,2.3,2.4,2.4,521,65.2,2.3,2.3,2.4,2.4,65.9,2.3,2.3,2.4,2.4
300,2016,MONTANA,White,738,735,542,73.4,2.3,2.3,2.5,2.5,73.8,2.3,2.3,2.5,2.5,492,66.7,2.3,2.3,2.5,2.5,67,2.3,2.3,2.5,2.5
302,2016,MONTANA,Black,5,3,2,B,B,B,B,B,B,B,B,B,B,2,B,B,B,B,B,B,B,B,B,B
304,2016,MONTANA,Hispanic,20,19,12,B,B,B,B,B,B,B,B,B,B,11,B,B,B,B,B,B,B,B,B,B
308,2016,NEBRASKA,Total,"1,407","1,336","1,008",71.7,2.6,2.6,2.8,2.8,75.5,2.6,2.6,2.8,2.8,893,63.4,2.6,2.6,2.8,2.8,66.8,2.6,2.6,2.8,2.8
311,2016,NEBRASKA,White,"1,253","1,202",927,74,2.7,2.7,2.9,2.9,77.1,2.7,2.7,2.9,2.9,837,66.8,2.7,2.7,2.9,2.9,69.6,2.7,2.7,2.9,2.9
313,2016,NEBRASKA,Black,56,52,41,B,B,B,B,B,B,B,B,B,B,30,B,B,B,B,B,B,B,B,B,B
315,2016,NEBRASKA,Hispanic,109,65,47,B,B,B,B,B,B,B,B,B,B,37,B,B,B,B,B,B,B,B,B,B
319,2016,NEVADA,Total,"2,234","1,975","1,371",61.4,2.7,2.7,2.8,2.9,69.4,2.7,2.7,2.8,2.9,"1,195",53.5,2.7,2.7,2.8,2.9,60.5,2.7,2.7,2.8,2.9
322,2016,NEVADA,White,"1,730","1,537","1,076",62.2,3,3.1,3.1,3.2,70,3,3.1,3.1,3.2,948,54.8,3,3.1,3.1,3.2,61.7,3,3.1,3.1,3.2
324,2016,NEVADA,Black,182,169,122,67.3,11,10.9,11.5,11.6,72.3,11,10.9,11.5,11.6,110,60.7,11,10.9,11.5,11.6,65.1,11,10.9,11.5,11.6
326,2016,NEVADA,Hispanic,517,346,234,45.3,9,10.3,8.8,10.9,67.7,9,10.3,8.8,10.9,196,37.9,9,10.3,8.8,10.9,56.6,9,10.3,8.8,10.9
330,2016,NEW HAMPSHIRE,Total,"1,044","1,012",763,73.1,2.5,2.5,2.7,2.6,75.4,2.5,2.5,2.7,2.6,698,66.9,2.5,2.5,2.7,2.6,69,2.5,2.5,2.7,2.6
333,2016,NEW HAMPSHIRE,White,990,973,740,74.7,2.5,2.5,2.7,2.7,76,2.5,2.5,2.7,2.7,677,68.4,2.5,2.5,2.7,2.7,69.6,2.5,2.5,2.7,2.7
335,2016,NEW HAMPSHIRE,Black,11,9,5,B,B,B,B,B,B,B,B,B,B,5,B,B,B,B,B,B,B,B,B,B
337,2016,NEW HAMPSHIRE,Hispanic,19,11,9,B,B,B,B,B,B,B,B,B,B,7,B,B,B,B,B,B,B,B,B,B
341,2016,NEW JERSEY,Total,"6,862","5,958","4,165",60.7,1.9,2,2,2.1,69.9,1.9,2,2,2.1,"3,665",53.4,1.9,2,2,2.1,61.5,1.9,2,2,2.1
344,2016,NEW JERSEY,White,"5,237","4,669","3,349",64,2.2,2.2,2.3,2.3,71.7,2.2,2.2,2.3,2.3,"2,961",56.6,2.2,2.2,2.3,2.3,63.4,2.2,2.2,2.3,2.3
346,2016,NEW JERSEY,Black,964,814,550,57,6.4,6.6,6.4,6.9,67.5,6.4,6.6,6.4,6.9,469,48.7,6.4,6.6,6.4,6.9,57.6,6.4,6.6,6.4,6.9
348,2016,NEW JERSEY,Hispanic,"1,379",913,486,35.2,6.7,8.6,6.3,8.5,53.2,6.7,8.6,6.3,8.5,395,28.6,6.7,8.6,6.3,8.5,43.2,6.7,8.6,6.3,8.5
352,2016,NEW MEXICO,Total,"1,547","1,396",916,59.2,2.5,2.6,2.6,2.7,65.6,2.5,2.6,2.6,2.7,765,49.4,2.5,2.6,2.6,2.7,54.8,2.5,2.6,2.6,2.7
355,2016,NEW MEXICO,White,"1,183","1,053",722,61.1,2.9,2.9,3,3.1,68.6,2.9,2.9,3,3.1,620,52.4,2.9,2.9,3,3.1,58.8,2.9,2.9,3,3.1
357,2016,NEW MEXICO,Black,42,40,26,B,B,B,B,B,B,B,B,B,B,22,B,B,B,B,B,B,B,B,B,B
359,2016,NEW MEXICO,Hispanic,705,571,340,48.3,6,6.6,5.9,6.7,59.6,6,6.6,5.9,6.7,276,39.1,6,6.6,5.9,6.7,48.2,6,6.6,5.9,6.7
363,2016,NEW YORK,Total,"15,506","13,751","9,142",59,1.3,1.4,1.3,1.4,66.5,1.3,1.4,1.3,1.4,"7,869",50.7,1.3,1.4,1.3,1.4,57.2,1.3,1.4,1.3,1.4
366,2016,NEW YORK,White,"11,101","10,159","6,997",63,1.5,1.5,1.6,1.6,68.9,1.5,1.5,1.6,1.6,"6,049",54.5,1.5,1.5,1.6,1.6,59.5,1.5,1.5,1.6,1.6
368,2016,NEW YORK,Black,"2,610","2,321","1,570",60.2,3.9,3.9,4,4.2,67.6,3.9,3.9,4,4.2,"1,350",51.7,3.9,3.9,4,4.2,58.2,3.9,3.9,4,4.2
370,2016,NEW YORK,Hispanic,"2,346","1,735","1,044",44.5,5.4,6.2,5.3,6.3,60.2,5.4,6.2,5.3,6.3,878,37.4,5.4,6.2,5.3,6.3,50.6,5.4,6.2,5.3,6.3
374,2016,NORTH CAROLINA,Total,"7,631","6,960","5,194",68.1,1.8,1.7,1.9,1.9,74.6,1.8,1.7,1.9,1.9,"4,700",61.6,1.8,1.7,1.9,1.9,67.5,1.8,1.7,1.9,1.9
377,2016,NORTH CAROLINA,White,"5,480","4,997","3,776",68.9,2.1,2,2.2,2.2,75.6,2.1,2,2.2,2.2,"3,412",62.3,2.1,2,2.2,2.2,68.3,2.1,2,2.2,2.2
379,2016,NORTH CAROLINA,Black,"1,625","1,582","1,191",73.3,4.4,4.4,4.7,4.7,75.3,4.4,4.4,4.7,4.7,"1,094",67.3,4.4,4.4,4.7,4.7,69.1,4.4,4.4,4.7,4.7
381,2016,NORTH CAROLINA,Hispanic,804,350,208,25.9,8.1,13.8,7.8,14,59.6,8.1,13.8,7.8,14,186,23.1,8.1,13.8,7.8,14,53.1,8.1,13.8,7.8,14
385,2016,NORTH DAKOTA,Total,583,564,424,72.8,2.4,2.4,2.6,2.6,75.2,2.4,2.4,2.6,2.6,362,62.1,2.4,2.4,2.6,2.6,64.2,2.4,2.4,2.6,2.6
388,2016,NORTH DAKOTA,White,520,515,403,77.5,2.4,2.4,2.7,2.7,78.2,2.4,2.4,2.7,2.7,348,67.1,2.4,2.4,2.7,2.7,67.7,2.4,2.4,2.7,2.7
390,2016,NORTH DAKOTA,Black,15,9,4,B,B,B,B,B,B,B,B,B,B,3,B,B,B,B,B,B,B,B,B,B
392,2016,NORTH DAKOTA,Hispanic,9,7,5,B,B,B,B,B,B,B,B,B,B,4,B,B,B,B,B,B,B,B,B,B
396,2016,OHIO,Total,"8,811","8,499","6,128",69.5,1.6,1.6,1.7,1.7,72.1,1.6,1.6,1.7,1.7,"5,408",61.4,1.6,1.6,1.7,1.7,63.6,1.6,1.6,1.7,1.7
399,2016,OHIO,White,"7,340","7,226","5,235",71.3,1.7,1.7,1.9,1.9,72.4,1.7,1.7,1.9,1.9,"4,642",63.2,1.7,1.7,1.9,1.9,64.2,1.7,1.7,1.9,1.9
401,2016,OHIO,Black,"1,031",977,722,70,5.7,5.6,6,6.1,73.9,5.7,5.6,6,6.1,637,61.8,5.7,5.6,6,6.1,65.2,5.7,5.6,6,6.1
403,2016,OHIO,Hispanic,277,173,119,43.1,15.4,18.2,15,19.5,68.9,15.4,18.2,15,19.5,100,36.2,15.4,18.2,15,19.5,57.8,15.4,18.2,15,19.5
407,2016,OKLAHOMA,Total,"2,923","2,746","1,861",63.7,2.8,2.8,2.9,3,67.8,2.8,2.8,2.9,3,"1,555",53.2,2.8,2.8,2.9,3,56.6,2.8,2.8,2.9,3
410,2016,OKLAHOMA,White,"2,289","2,158","1,470",64.2,3.2,3.2,3.3,3.4,68.1,3.2,3.2,3.3,3.4,"1,263",55.2,3.2,3.2,3.3,3.4,58.5,3.2,3.2,3.3,3.4
412,2016,OKLAHOMA,Black,198,178,139,70.2,12.5,12,13.7,14.3,77.8,12.5,12,13.7,14.3,102,51.7,12.5,12,13.7,14.3,57.3,12.5,12,13.7,14.3
414,2016,OKLAHOMA,Hispanic,280,150,68,24.2,12.8,20.3,11.4,19.2,45.2,12.8,20.3,11.4,19.2,50,17.9,12.8,20.3,11.4,19.2,33.4,12.8,20.3,11.4,19.2
418,2016,OREGON,Total,"3,185","2,929","2,147",67.4,2.6,2.6,2.7,2.8,73.3,2.6,2.6,2.7,2.8,"1,942",61,2.6,2.6,2.7,2.8,66.3,2.6,2.6,2.7,2.8
421,2016,OREGON,White,"2,808","2,644","1,961",69.9,2.7,2.7,2.9,2.9,74.2,2.7,2.7,2.9,2.9,"1,790",63.7,2.7,2.7,2.9,2.9,67.7,2.7,2.7,2.9,2.9
423,2016,OREGON,Black,57,41,28,B,B,B,B,B,B,B,B,B,B,23,B,B,B,B,B,B,B,B,B,B
425,2016,OREGON,Hispanic,371,223,142,38.3,12.6,16,12.1,16.6,63.8,12.6,16,12.1,16.6,122,32.9,12.6,16,12.1,16.6,54.9,12.6,16,12.1,16.6
429,2016,PENNSYLVANIA,Total,"9,980","9,596","6,909",69.2,1.5,1.5,1.6,1.6,72,1.5,1.5,1.6,1.6,"6,008",60.2,1.5,1.5,1.6,1.6,62.6,1.5,1.5,1.6,1.6
432,2016,PENNSYLVANIA,White,"8,435","8,203","5,916",70.1,1.7,1.6,1.8,1.8,72.1,1.7,1.6,1.8,1.8,"5,153",61.1,1.7,1.6,1.8,1.8,62.8,1.7,1.6,1.8,1.8
434,2016,PENNSYLVANIA,Black,"1,071","1,007",751,70.1,5.6,5.5,6,6.1,74.5,5.6,5.5,6,6.1,637,59.5,5.6,5.5,6,6.1,63.2,5.6,5.5,6,6.1
436,2016,PENNSYLVANIA,Hispanic,544,443,279,51.2,11.2,11.9,11,12.4,62.9,11.2,11.9,11,12.4,229,42.1,11.2,11.9,11,12.4,51.7,11.2,11.9,11,12.4
440,2016,RHODE ISLAND,Total,836,766,538,64.4,2.7,2.7,2.8,2.9,70.3,2.7,2.7,2.8,2.9,464,55.5,2.7,2.7,2.8,2.9,60.6,2.7,2.7,2.8,2.9
443,2016,RHODE ISLAND,White,699,664,467,66.7,2.9,2.9,3,3.1,70.3,2.9,2.9,3,3.1,403,57.7,2.9,2.9,3,3.1,60.7,2.9,2.9,3,3.1
445,2016,RHODE ISLAND,Black,63,58,42,B,B,B,B,B,B,B,B,B,B,34,B,B,B,B,B,B,B,B,B,B
447,2016,RHODE ISLAND,Hispanic,132,98,67,B,B,B,B,B,B,B,B,B,B,57,B,B,B,B,B,B,B,B,B,B
451,2016,SOUTH CAROLINA,Total,"3,733","3,598","2,575",69,2.5,2.4,2.6,2.6,71.6,2.5,2.4,2.6,2.6,"2,233",59.8,2.5,2.4,2.6,2.6,62.1,2.5,2.4,2.6,2.6
454,2016,SOUTH CAROLINA,White,"2,621","2,516","1,760",67.1,3,3,3.1,3.2,70,3,3,3.1,3.2,"1,529",58.3,3,3,3.1,3.2,60.8,3,3,3.1,3.2
456,2016,SOUTH CAROLINA,Black,975,964,720,73.8,5.5,5.5,6,6,74.6,5.5,5.5,6,6,628,64.4,5.5,5.5,6,6,65.2,5.5,5.5,6,6
458,2016,SOUTH CAROLINA,Hispanic,175,76,39,B,B,B,B,B,B,B,B,B,B,31,B,B,B,B,B,B,B,B,B,B
462,2016,SOUTH DAKOTA,Total,631,612,437,69.3,2.7,2.7,2.9,2.9,71.4,2.7,2.7,2.9,2.9,362,57.3,2.7,2.7,2.9,2.9,59.1,2.7,2.7,2.9,2.9
465,2016,SOUTH DAKOTA,White,560,551,406,72.5,2.8,2.8,3,3.1,73.6,2.8,2.8,3,3.1,340,60.7,2.8,2.8,3,3.1,61.6,2.8,2.8,3,3.1
467,2016,SOUTH DAKOTA,Black,11,8,4,B,B,B,B,B,B,B,B,B,B,3,B,B,B,B,B,B,B,B,B,B
469,2016,SOUTH DAKOTA,Hispanic,21,15,8,B,B,B,B,B,B,B,B,B,B,7,B,B,B,B,B,B,B,B,B,B
473,2016,TENNESSEE,Total,"5,057","4,872","3,251",64.3,2.2,2.2,2.3,2.3,66.7,2.2,2.2,2.3,2.3,"2,630",52,2.2,2.2,2.3,2.3,54,2.2,2.2,2.3,2.3
476,2016,TENNESSEE,White,"4,014","3,893","2,640",65.8,2.5,2.5,2.6,2.6,67.8,2.5,2.5,2.6,2.6,"2,176",54.2,2.5,2.5,2.6,2.6,55.9,2.5,2.5,2.6,2.6
478,2016,TENNESSEE,Black,814,800,519,63.8,6.7,6.7,7,7,64.9,6.7,6.7,7,7,402,49.4,6.7,6.7,7,7,50.3,6.7,6.7,7,7
480,2016,TENNESSEE,Hispanic,221,125,40,18,13.3,21.5,11.4,19,31.8,13.3,21.5,11.4,19,27,12.3,13.3,21.5,11.4,19,21.7,13.3,21.5,11.4,19
