Year,State,Race,Total population,Total voted,Education,Income,Political Power
2014,NEW JERSEY,Black,953,276,0.4711403754553096,25000.0,-0.0017790398264549974
2014,NEW MEXICO,White,1234,546,0.565426925091671,25000.0,0.01295862851437796
2014,NEW MEXICO,Black,40,8,0.5396039603960396,21000.0,-0.5083924864841776
2014,NEW YORK,White,11147,3683,0.5682533908931665,30600.0,0.7452392211941323
2014,NEW YORK,Black,2581,762,0.4706495310871831,23000.0,-0.25843277659751607
2014,NORTH CAROLINA,White,5415,2325,0.5644497868264373,27700.0,0.3656849449122539
2014,NORTH CAROLINA,Black,1572,735,0.4395939861100511,18000.0,-0.9088627618842158
2014,NORTH DAKOTA,White,516,266,0.5254361799816345,30000.0,0.6513412206681816
2014,NORTH DAKOTA,Black,10,2,0.5714285714285714,14000.0,-1.4068359822911112
2014,OHIO,White,7404,2898,0.4697113859816048,26500.0,0.1983202066023022
2014,OHIO,Black,1024,403,0.40143325640714206,16400.0,-1.1217936106431068
2014,OKLAHOMA,White,2262,751,0.45539858213903206,25000.0,-0.0028566119038479
2014,OKLAHOMA,Black,192,56,0.4411347517730497,18200.0,-0.8844200032743345
2014,OREGON,White,2768,1510,0.5768397430937089,26200.0,0.1715611444636439
2014,OREGON,Black,56,14,0.5532994923857868,19300.0,-0.7256624809407601
2014,PENNSYLVANIA,White,8451,3375,0.4569863140910305,27020.0,0.2646576083864328
2014,PENNSYLVANIA,Black,1001,341,0.4067796610169492,18000.0,-0.9146242060305956
2014,RHODE ISLAND,White,717,311,0.5491539644804923,30000.0,0.6550893374180573
2014,RHODE ISLAND,Black,55,16,0.4358288770053476,20000.0,-0.6530868553400409
2014,SOUTH CAROLINA,White,2622,1075,0.5459099804305284,27000.0,0.2694864068739761
2014,SOUTH CAROLINA,Black,965,419,0.3761084367874335,16100.0,-1.164341244013163
2014,SOUTH DAKOTA,White,562,259,0.5040890899599791,27000.0,0.26103370462943265
2014,SOUTH DAKOTA,Black,12,3,0.4716981132075472,10060.0,-1.9302909533489936
2014,TENNESSEE,White,4014,1481,0.4646670574144389,25000.0,0.00040402248161119616
2014,TENNESSEE,Black,793,244,0.4219269102990033,17500.0,-0.9770857445136532
2014,TEXAS,White,15676,4820,0.5214196589491197,28000.0,0.40653960314786153
2014,TEXAS,Black,2327,777,0.4886841805982031,20500.0,-0.578406502214343
2014,UTAH,White,1919,678,0.5940717074902379,27000.0,0.2758855375036663
2014,UTAH,Black,26,6,0.4850746268656717,19850.0,-0.6650291314397798
2014,VERMONT,White,475,202,0.5363562091503268,27000.0,0.26579052298937195
2014,VERMONT,Black,4,0,0.4594594594594595,12000.0,-1.6818249285643347
2014,VIRGINIA,White,4480,1924,0.6004372598383464,34800.0,1.2862469450030063
2014,VIRGINIA,Black,1188,394,0.4552631578947369,22600.0,-0.31358143259771243
2014,WASHINGTON,White,4238,2088,0.5942118081006313,31000.0,0.7950598118692378
2014,WASHINGTON,Black,195,53,0.5041509433962265,25000.0,0.0025210959487848216
2014,WEST VIRGINIA,White,1376,473,0.3861486750566716,22000.0,-0.4012433955972379
2014,WEST VIRGINIA,Black,41,5,0.4095238095238095,16000.0,-1.1732133100551334
2014,WISCONSIN,White,3933,2213,0.4827885659148474,28000.0,0.39112094555505533
2014,WISCONSIN,Black,230,93,0.4070201643017177,15500.0,-1.2378955563889777
2014,WYOMING,White,407,164,0.5294418842805939,30000.0,0.6517592764885582
2014,WYOMING,Black,11,3,0.5517241379310345,16400.0,-1.1001331184743437
2016,ALABAMA,White,2633,1465,0.4986274888845931,26800.0,0.23703412076813427
2016,ALABAMA,Black,962,579,0.4187532603025561,17000.0,-1.0415680283626492
2016,ALASKA,White,346,234,0.5959780621572212,38100.0,1.7070325467040302
2016,ALASKA,Black,17,8,0.4794520547945205,25000.0,-0.0013629416474469842
2016,ARIZONA,White,4471,2480,0.5869192412210116,30000.0,0.6655451254171748
2016,ARIZONA,Black,252,121,0.578789694427801,23000.0,-0.24415022829491573
2016,ARKANSAS,White,1822,1032,0.4476244991413853,24500.0,-0.0684283713982367
2016,ARKANSAS,Black,321,186,0.3889312977099237,17635.0,-0.9649778537568714
2016,CALIFORNIA,White,21592,10908,0.6023165792523387,32400.0,0.9973627632646657
2016,CALIFORNIA,Black,1849,856,0.564523415148321,24000.0,-0.11548965205800973
2016,COLORADO,White,3743,2494,0.6515074382035183,34300.0,1.2297721206020482
2016,COLORADO,Black,185,124,0.5750421585160203,26000.0,0.14234932059682737
2016,CONNECTICUT,White,2258,1378,0.6122321984176371,40000.0,1.9571191599906417
2016,CONNECTICUT,Black,297,142,0.4523148148148149,24500.0,-0.06966036850735388
2016,DELAWARE,White,527,319,0.5548204158790171,34000.0,1.1719843521338944
2016,DELAWARE,Black,148,82,0.4315391879131256,26000.0,0.12059390885578855
2016,DISTRICT OF COLUMBIA,White,264,194,0.9114804793196754,70000.0,5.870749684150554
2016,DISTRICT OF COLUMBIA,Black,250,162,0.4857278782112274,25000.0,-9.543173577898902e-05
2016,FLORIDA,White,13097,7277,0.5575938889215695,28600.0,0.49114626529288397
2016,FLORIDA,Black,2434,1051,0.4359865600741513,20400.0,-0.5988687891099967
2016,GEORGIA,White,4798,2786,0.5446034534470201,30000.0,0.659712984767108
2016,GEORGIA,Black,2325,1346,0.4724731549343788,20800.0,-0.5414286608395579
2016,HAWAII,White,225,129,0.6812150837988827,36250.0,1.4810036602010028
2016,HAWAII,Black,24,15,0.5032258064516129,28300.0,0.4280494054205263
2016,IDAHO,White,1151,687,0.5210984594775621,25000.0,0.006394424468865933
